descricao,correto,insumo_1
30 CAP | BUPROPIONA CLORIDRATO  150MG,39.9,BUPROPIONA CLORIDRATO
90 CAP | VITAMINA D LIQ  10000UI; ALFA TOCOFEROL  100UI,81.0,VITAMINA D LIQ
60 CAP | BETAGLUCAN  250MG; ARGININA  1G; VIT C  1G; ZINCO QUELADO  15MG,194.5,BETAGLUCAN
20 CAP | BICARBONATO DE SODIO  5G,39.9,BICARBONATO DE SODIO
30 CAP | MAGNESIO QUELADO 30%  80MG; ZINCO QUELADO  40MG; EXSYNUTRIMENT-SILICIO ORGANICO  100MG; GLYCOXIL  50MG; VIT C  100MG,162.3,MAGNESIO QUELADO 30%
30 CAP | ESPINHEIRA SANTA PO  300MG,39.9,ESPINHEIRA SANTA PO
30 CAP | CICLOBENZAPRINA   5MG,39.9,CICLOBENZAPRINA
60 CAP | CURCUMINA  250MG; PIPERINA 2.500MG,74.4,CURCUMINA
60 CAP | MAGNESIO DIMALATO  350MG; ZINCO QUELADO  10MG,51.6,MAGNESIO DIMALATO
90 CAP | LACTOBACILLUS ACIDOPHILUS  30MG; LACTOBACILLUS REUTERI  30MG; LACTOBACILLUS RHAMNOSUS  30MG; PARACASEI LACTOBACILLUS   30MG; BIFIDOBACTERIA BIFIDUM  30MG; BIFIDOBACTERIUM LACTIS  30MG,65.0,LACTOBACILLUS ACIDOPHILUS
1 CAP | AMIDO  1MG,39.9,AMIDO
15 CAP | AMITRIPTILINA 3.500MG,39.9,AMITRIPTILINA 3.
90 CAP | VITAMINA C  500MG,50.8,VITAMINA C
60 CAP | SERTRALINA  50MG,43.6,SERTRALINA
60 CAP | VITAMINA C  500MG,43.6,VITAMINA C
60 CAP | VITAMINA D3 OLEOSA  2000UI,43.6,VITAMINA D3 OLEOSA
60 CAP | MAGNESIO DIMALATO  200MG,43.6,MAGNESIO DIMALATO
120 CAP | QUERCETINA  300MG; VITAMINA C  250MG; CASTANHA DA INDIA  200MG; RUTINA  50MG; VITAMINA D3 1:100  10000UI,195.2,QUERCETINA
30 CAP | BETAGLUCAN  500MG; VITAMINA C  500MG; ZINCO  30MG,72.5,BETAGLUCAN
60 CAP | ACIDO ALFA LIPOICO  600MG,169.8,ACIDO ALFA LIPOICO
60 CAP | VITAMINA B6  10MG; NUTRICOLIN  25MG; SELENIO QUELADO  5MCG; BIOTINA  1MG; ZINCO QUELADO 7.500MG; SULFATO DE ZINCO 2.500MG; VITAMINA C REVESTIDA  25MG; ASTRAGALUS  25MG,73.0,VITAMINA B6
30 CAP | QUERCETINA  250MG; CURCUMA LONGA  100MG; RESVERATROL  100MG,110.0,QUERCETINA
60 CAP | DIACEREINA  50MG; PARACETAMOL  500MG; CICLOBENZAPRINE  5MG,149.8,DIACEREINA
60 CAP | MAGNESIO DIMALATO  400MG,52.8,MAGNESIO DIMALATO
30 CAP | MAGNESIO DIMALATO  400MG,40.0,MAGNESIO DIMALATO
30 CAP | VITAMINA D  7000UI; VITAMINA A  700UI; VITAMINA K2 MK7  120MCG,39.9,VITAMINA D
120 CAP | VITAMINA D  1000UI,50.0,VITAMINA D
30 CAP | SILIMARINA  300MG; ACIDO ALFA LIPOICO  200MG; CURCUMA EXT SECO  200MG; BOLDO PO  200MG; METIONINA  200MG; COENZIMA Q10 PO  200MG,200.6,SILIMARINA
30 CAP | ACIDOPHILUS LACTOBACILLUS  100MG; GASSERI LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  50MG; LACTIS LACTOBACILLUS  100MG; INULINA  200MG,58.0,ACIDOPHILUS LACTOBACILLUS
30 CAP | FENOGREGO  300MG,58.7,FENOGREGO
60 CAP | VITAMINA D3  200UI; DIMETICONE   50MG; ORLISTAT  120MG; ESPIRONOLACTONA  20MG; SELENIO QUELADO  10MCG; PLANTAGO OVATA  120MG,169.0,VITAMINA D3
30 CAP | ORNITINA ALFA  300MG; PANTOTENATO DE CALCIO  100MG; MAGNESIO QUELADO  100MG; ZINCO QUELADO  10MG; VITAMINA C REVESTIDA  35MG; LISINA  100MG,71.0,ORNITINA ALFA
60 CAP | FLUOXETINA  20MG,43.6,FLUOXETINA
30 CAP | HMB  300MG; TRANSRESVERATROL  25MG; CURCUMA  50MG,54.0,HMB
90 CAP | VITAMINA D   10000UI; VITAMINA A OLEOSA ORAL  1500UI,60.1,VITAMINA D
30 CAP | MOROSIL  150MG; PICOLINATO DE CROMO  80MCG; SLENDESTA  50MG,65.0,MOROSIL
30 CAP | MELATONINA  3MG; SELENIO QUELADO  50MCG; ZINCO QUELADO 8.700MG; RELORA  250MG; 5-HTP  50MG,156.5,MELATONINA
30 CAP | GASSERI LACTOBACILLUS  30MG; BIFIDOBACTERIUM ANIMALIS  50MG; BIFIDOBACTERIA BIFIDUM  100MG; REUTERI LACTOBACILLUS  50MG; CASEI LACTOBACILLUS  100MG; XOS (XILOOLIGOSSACARIDEOS)  200MG,51.1,GASSERI LACTOBACILLUS
30 CAP | AAKG  500MG; TAURINA  1G; COENZIMA Q10 PO  200MG; BETA ALANINA  2G; CITRULINA  1G,224.3,AAKG
60 CAP | TRAMADOL CLORIDRATO  50MG; CETOPROFENO  25MG; PARACETAMOL  250MG; PREDNISONA  2MG; CICLOBENZAPRINE  5MG,114.2,TRAMADOL CLORIDRATO
60 CAP | T3  20MCG,43.6,T3
30 CAP | T4  75MCG; T3  20MCG,39.9,T4
60 CAP | VITAMINA D3  60000UI,118.3,VITAMINA D3
60 CAP | CISTINA  40MG; PANTOTENATO DE CALCIO  50MG; VITAMINA B6  10MG; ACIDO FOLICO  220MCG; BIOTINA 2.500MG; COBRE QUELADO  1MG,66.0,CISTINA
30 CAP | ACIDOPHILUS LACTOBACILLUS  200MG; RHAMNOSUS LACTOBACILLUS  200MG; LACTIS LACTOBACILLUS  200MG,65.0,ACIDOPHILUS LACTOBACILLUS
30 CAP | CRISINA  200MG; DIMPLESS  20MG,142.0,CRISINA
60 CAP | GREEN TEA EXT SECO  400MG; L CISTEINA  150MG; CISTINA  400MG; METIONINA  250MG; VITAMINA C  120MG; VITAMINA D3 1:100  400UI; VITAMINA E  10MG; ZINCO  15MG; SELENIO QUELADO  40MCG,200.0,GREEN TEA EXT SECO
60 CAP | VITAMINA K2 MK7  125MCG; UC II  40MG; BORO QUELADO  1MG; RESVERATROL  200MG,485.5,VITAMINA K2 MK7
90 CAP | ZINCO  10MG; SELENIO QUELADO  25MCG; MAGNESIO QUELADO 30%  250MG; ASHWAGANDHA EXTRATO  100MG; VITAMINA D  2000UI; VITAMINA A  200UI; VITAMINA E  50UI; COLAGENO PO  200MG; VITAMINA C  250MG,129.2,ZINCO
60 CAP | DOXEPINA   50MG,167.4,DOXEPINA
56 CAP | AMOXICILINA  500MG,78.1,AMOXICILINA
60 CAP | CASSIA ANGUSTIFOLIA + FISTULA 251.700MG; TAMARINDUS INDICA 11.700MG; CORIANDRUM SATIVUM 5.400MG,47.0,CASSIA ANGUSTIFOLIA + FISTULA 251.
60 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  30000UI; VITAMINA A OLEOSA ORAL  3000UI; VITAMINA K2 MK7  100MCG,71.1,VITAMINA D LIQ CAP ACIMA 15MIL
60 CAP | T4  35MCG; T3  7MCG,44.0,T4
60 CAP | L TIROSINA  500MG; ZINCO QUELADO  30MG; COBRE QUELADO  1MG; SELENIO QUELADO  200MCG; METILFOLATO   1000MCG; PIRIDOXAL-5-FOSFATO  25MG,165.2,L TIROSINA
56 CAP | METRONIDAZOL  20MG,43.6,METRONIDAZOL
60 CAP | PREGABALINA  50MG; FLUOXETINA  40MG; COLAGENO TIPO 2  40MG; CETOPROFENO  50MG,203.2,PREGABALINA
90 CAP | METILFOLATO 1:10  400MCG; COENZIMA Q10 PO  100MG; ZINCO  50MG,203.0,METILFOLATO 1:10
30 CAP | COENZIMA Q10 PO  200MG; CURCUMINA  300MG; ACIDO ALFA LIPOICO  300MG,181.0,COENZIMA Q10 PO
90 CAP | VITAMINA D LIQ CAP ATE 15MIL  4000UI; VITAMINA K2 LIQ SOL MAE  100MCG,50.0,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | ORLISTAT  120MG,78.8,ORLISTAT
60 CAP | MAGNESIO DIMALATO  150MG; MAGNESIO GLICINATO  100MG; CITRATO DE MAGNESIO  100MG; TIAMINA  50MG; RIBOFLAVINA  25MG; NIACINA NO FLUSH  25MG; ACIDO PANTOTENICO  100MG; PIRIDOXAL-5-FOSFATO  20MG; METILFOLATO   75MCG; METILCOBALAMINA  200MCG; CROMO GTF  100MCG; ZINCO QUELADO  10MG; SELENIO QUELADO  50MCG; NAC  150MG; ACIDO ALFA LIPOICO  150MG; QUERCETINA  100MG,228.2,MAGNESIO DIMALATO
30 CAP | CRISPATUS/CURVA LACTOBACILLUS   200MG; GASSERI LACTOBACILLUS  100MG; ACIDOPHILUS LACTOBACILLUS  100MG; REUTERI LACTOBACILLUS  50MG; RHAMNOSUS LACTOBACILLUS  50MG; BIFIDOBACTERIA BIFIDUM  50MG; BIFIDOBACTERIUM LONGUM  50MG; INULINA  200MG,72.0,CRISPATUS/CURVA LACTOBACILLUS
90 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA A OLEOSA ORAL  1000UI,60.0,VITAMINA D LIQ CAP ATE 15MIL
120 CAP | VITAMINA C  500MG,58.4,VITAMINA C
60 CAP | VITAMINA D3  4000UI,44.0,VITAMINA D3
60 CAP | LORAZEPAM 1:10  1MG,50.0,LORAZEPAM 1:10
60 CAP | CLORETO DE MAGNÉSIO  500MG,44.0,CLORETO DE MAGNÉSIO
30 CAP | TIROSINA  500MG; SELENIO QUELADO  100MCG,56.9,TIROSINA
30 CAP | THEANINA  250MG,49.1,THEANINA
30 CAP | VITAMINA D  2000UI,39.9,VITAMINA D
30 CAP | T4  50MCG; T3 12.500MCG,39.9,T4
30 CAP | HIDROXIZINE  15MG,39.9,HIDROXIZINE
60 CAP | FENOGREGO  200MG; MACA   500MG; TRIBULUS TERRESTRIS   500MG,193.5,FENOGREGO
60 CAP | NUTRICOLIN  100MG; ACIDO PANTOTENICO  30MG; VITAMINA B3  20MG; VITAMINA B6  25MG; CISTINA  60MG; BIOTINA  3MG,156.4,NUTRICOLIN
15 CAP | ZEMBRIN   4MG; CITRATO DE MAGNESIO  250MG; BUPROPIONA CLORIDRATO  70MG; OSTARINE 2.500MG; ORLISTAT  70MG; SLIMCARB  150MG; MOROSIL  100MG,142.0,ZEMBRIN
30 CAP | SPOROGENES LACTOBACILLUS  100MG; JOHNSONII LACTOBACILLUS  100MG; REUTERI LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  100MG; VIT A   4500UI; NIACINA NO FLUSH  200MG; VIT B12  500MCG; ZINCO QUELADO  15MG; BORO QUELADO  1MG,88.7,SPOROGENES LACTOBACILLUS
90 CAP | VITAMINA A  100UI; VITAMINA D  5000UI,47.4,VITAMINA A
90 CAP | RHODIOLA ROSEA  400MG,141.0,RHODIOLA ROSEA
90 CAP | 5-HTP  50MG; TAURINA  200MG; CROMO QUELADO  150MCG; MAGNESIO QUELADO 30%  200MG; SELENIO QUELADO  60MCG; ZINCO QUELADO  10MG; COBRE QUELADO 0.500MG; VITAMINA B12  100MCG; VITAMINA B6  20MG; NICOTINAMIDA  10MG; COENZIMA Q10 PO  100MG,260.7,5-HTP
30 CAP | HIDROCORTISONA 5MG 70/30 CAPS  30UN,39.9,HIDROCORTISONA 5MG 70/30 CAPS
28 CAP | SULFATO DE ZINCO  66MG,40.0,SULFATO DE ZINCO
60 CAP | ALCACHOFRA EXT SECO  200MG; CASCARA SAGRADA EXTRATO SECO  200MG; CENTELLA ASIATICA EXTRATO SECO  200MG; CITRUS AURANTIUM  150MG; ESPIRULINA  150MG; FASEOLAMINA  150MG; MARACUJA  100MG; CHITOSAN  200MG; VIT E  100MG; ZINCO  5MG,135.0,ALCACHOFRA EXT SECO
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  7000UI,43.6,VITAMINA D LIQ CAP ATE 15MIL
120 CAP | PROTEASE  60MG; AMILASE  40MG; LIPASE  50MG; PANCREATINA  100MG; PAPAINA 6000  50MG; BROMELINA  100MG,166.8,PROTEASE
60 CAP | VITEX AGNUS CACTUS  80MG; L THEANINA  150MG; MAGNESIO TREONATO  200MG,101.0,VITEX AGNUS CACTUS
240 CAP | VITAMINA C  1G; ZINCO  10MG,202.8,VITAMINA C
30 CAP | KELP IODINE EXTRACT 1%  150MCG,39.9,KELP IODINE EXTRACT 1%
30 CAP | SILIMARINA EXT SECO  300MG,39.9,SILIMARINA EXT SECO
60 CAP | FAMOTIDINA  20MG; DIPIRONA  500MG; PREDNISOLONA BASE 1:10  5MG; CARISOPRODOL  150MG,135.0,FAMOTIDINA
60 CAP | MELATONINA SLOW RELEASE  3MG; ZINCO  12MG; SELENIO QUELADO  65MCG,71.3,MELATONINA SLOW RELEASE
120 CAP | BIOFERRIN  150MG,896.6,BIOFERRIN
60 CAP | VITAMINA D3   10000UI; VITAMINA A  800UI; VITAMINA K2 MK7  140MCG,54.3,VITAMINA D3
30 CAP | TERAP SINDR INTESTIN IRRIT CAP  30UN,59.0,TERAP SINDR INTESTIN IRRIT CAP
60 CAP | T3  5MCG,43.6,T3
60 CAP | VITAMINA D3   5000UI; VITAMINA A  500UI; VITAMINA K2 MK7  110MCG,44.9,VITAMINA D3
94 CAP | VITAMINA D3  10000UI; VITAMINA K2 MK7  150MCG,59.0,VITAMINA D3
90 CAP | VITAMINA D3 1:100  7000UI; VITAMINA A  500UI; VITAMINA K2 MK7  60MCG,48.0,VITAMINA D3 1:100
60 CAP | CITRATO DE MAGNESIO  150MG; MAGNESIO DIMALATO  250MG; ZINCO QUELADO  15MG; CROMO GTF  200MCG; SELENIO QUELADO  50MCG; COBRE QUELADO  500MCG; TIAMINA  50MG; RIBOFLAVINA  50MG; NIACINA NO FLUSH  25MG; PIRIDOXAL-5-FOSFATO  20MG; METILFOLATO 1:10  150MCG; METILCOBALAMINA 1:100  100MCG; ACIDO ALFA LIPOICO  150MG; QUERCETINA  150MG,199.4,CITRATO DE MAGNESIO
90 CAP | PRASTERONA  25MG,253.2,PRASTERONA
30 CAP | ZINCO QUELADO  50MG; QUERCETINA  500MG; VITAMINA D  2000UI; VITAMINA B6  60MG; VITAMINA B12  200MCG; L LISINA  300MG,98.0,ZINCO QUELADO
90 CAP | VITAMINA D3 1:100  7000UI; FERRO QUELADO  30MG; ACIDO ASCORBICO  500MG,72.4,VITAMINA D3 1:100
12 CAP | VITAMINA D  35000UI,40.0,VITAMINA D
60 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  50000UI,108.3,VITAMINA D LIQ CAP ACIMA 15MIL
120 CAP | MAGNESIO DIMALATO  500MG,94.0,MAGNESIO DIMALATO
120 CAP | PSILIUM  1G,90.7,PSILIUM
120 CAP | SAW PALMETO EXT SECO  200MG; URTIGA DIOICA EXT SECO  400MG,92.5,SAW PALMETO EXT SECO
60 CAP | MAGNESIO DI MALATO  300MG; VIT D3  4000UI; SELENIO QUELADO  100MCG; ZINCO QUELADO  15MG; COBRE QUELADO 0.500MG; ARGININA  250MG; VIT C  200MG; COENZIMA Q10 PO  100MG; VITAMINA K2 PÓ DILUIDA  100MCG; VIT B1 7.500MG; VIT B2 7.500MG; NIACINA NO FLUSH  45MG; VIT B5  45MG; VIT B6  30MG; ACIDO FOLICO 187.500MCG; VIT B12 187.500MCG; INOSITOL 14.634MG,236.4,MAGNESIO DI MALATO
60 CAP | TADALAFIL  5MG; ARGININA  2G,207.0,TADALAFIL
60 CAP | ANASTROZOL 1:10 0.200MG; DUTASTERIDA 0.300MG,56.2,ANASTROZOL 1:10 0.
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA K2 LIQ SOL MAE  100MCG,45.4,VITAMINA D LIQ CAP ATE 15MIL
120 CAP | HIDROCORTISONA BASE  20MG; PRASTERONA  10MG,250.6,HIDROCORTISONA BASE
120 CAP | L GLUTATIONA  70MG,137.8,L GLUTATIONA
30 CAP | PIPERINA  5MG; QUERCETINA  150MG; CAPSAICINA ORAL  5MG; PHOLIAMAGRA  250MG; PHOLIANEGRA  100MG; VITAMINA C  250MG,116.7,PIPERINA
12 CAP | VITAMINA D3 1:100  50000UI,45.0,VITAMINA D3 1:100
60 CAP | VITAMINA D3 1:100  5000UI,45.0,VITAMINA D3 1:100
90 CAP | CRAMBERRY EXT SECO  300MG,131.9,CRAMBERRY EXT SECO
90 CAP | SILICIO ORGANICO  50MG,126.8,SILICIO ORGANICO
270 CAP | VITAMINA C  1000MG; ZINCO QUELADO  7MG; COBRE QUELADO 0.500MG; SELENIO QUELADO  50MCG,221.7,VITAMINA C
60 CAP | SILIMARINA  150MG; BOLDO  100MG; METIONINA  150MG; TIROSINA  150MG,82.9,SILIMARINA
30 CAP | HIDROXITRIPTOFANO-5  500MG,223.2,HIDROXITRIPTOFANO-5
30 CAP | HIDROXITRIPTOFANO-5  100MG,61.0,HIDROXITRIPTOFANO-5
15 CAP | METOTREXATO  25MG,178.0,METOTREXATO
90 CAP | ATENOLOL  25MG; CLORTALIDONA  10MG; LOSARTAN  50MG; ESPIRONOLACTONA  15MG; SINVASTATINA  20MG,274.5,ATENOLOL
30 CAP | ACIDOPHILUS LACTOBACILLUS  100MG; BULGARICUS LACTOBACILLUS  100MG; RHAMNOSUS LACTOBACILLUS  100MG; CASEI LACTOBACILLUS  100MG; PLANTARUM LACTOBACILLUS  100MG; REUTERI LACTOBACILLUS  100MG; GASSERI LACTOBACILLUS  100MG; JOHNSONII LACTOBACILLUS  100MG; BIFIDOBACTERIA BIFIDUM  100MG; BIFIDOBACTERIUM LACTIS  100MG,94.0,ACIDOPHILUS LACTOBACILLUS
60 CAP | MELATONINA SLOW RELEASE  3MG; SELENIO QUELADO  50MCG; ZINCO QUELADO 8.700MG; RELORA  250MG; 5-HTP  50MG,283.0,MELATONINA SLOW RELEASE
60 CAP | SILIMARINA  300MG,55.4,SILIMARINA
60 CAP | VITAMINA D3   3000UI,47.1,VITAMINA D3
60 CAP | OXANDROLONA 2.500MG,43.6,OXANDROLONA 2.
60 CAP | VITAMINA D3  5000UI,44.0,VITAMINA D3
60 CAP | VITAMINA D LIQ CAP ATE 15MIL  7000UI; VITAMINA A OLEOSA ORAL  700UI; VITAMINA K2 LIQ SOL MAE  100MCG,44.0,VITAMINA D LIQ CAP ATE 15MIL
120 CAP | T3  6MCG,50.0,T3
60 CAP | T4  30MCG; T3  6MCG,44.0,T4
30 CAP | TAMOXIFENO CITRATO  20MG; ANASTROZOL 1:10 0.500MG; DIM  100MG; CRISINA  100MG; ESPIRONOLACTONA  50MG,146.6,TAMOXIFENO CITRATO
30 CAP | SILIMARINA  300MG; ACIDO ALFA LIPOICO  200MG; CURCUMINA  500MG; BOLDO  200MG; METIONINA  200MG; COENZIMA Q10 PO  200MG,235.6,SILIMARINA
60 CAP | RELORA  125MG; MAGNESIO QUELADO 30%  150MG; THEANINA  150MG; HIDROXITRIPTOFANO-5  75MG,222.0,RELORA
60 CAP | FLUOXETINA  40MG,50.0,FLUOXETINA
30 CAP | BETACAROTENO  5MG; COBRE QUELADO 0.500MG; IODO QUELADO  150MCG; TIROSINA  500MG; VIT A   1500UI; VIT C  300MG; ZINCO QUELADO  30MG; SELENIO QUELADO  200MCG; COENZIMA Q10 PO  100MG,121.0,BETACAROTENO
30 CAP | PROTEASE  100MG; AMILASE  100MG; LIPASE 50.000FPI/G  100MG; PANCREATINA  100MG,70.0,PROTEASE
30 CAP | BUPROPIONA CLORIDRATO  150MG; CITRIN EXTRACT  100MG; SLENDESTA  75MG; CITRUS AURANTIUM  150MG; UBIQUINONA  60MG; ORLISTAT  100MG; LIO TIRONINA SODICA  30MCG; ESPIRONOLACTONA  25MG; DIMETILPOLISILOXANE  120MG; FAMOTIDINA  20MG,188.0,BUPROPIONA CLORIDRATO
30 CAP | 5-HTP  100MG; CAPSINOIDE  8MG; EXSYNUTRIMENT-SILICIO ORGANICO  75MG; ALOINA  15MG; CLORTALIDONA  10MG; KCL  150MG; CROMO GTF  100MCG; DIMETILPOLISILOXANE  60MG; FAMOTIDINA  20MG,160.2,5-HTP
60 CAP | PROTEASE  100MG; BROMELINA  100MG; PAPAINA 6000  50MG; ALFA AMILASE  125MG; LIPASE  90MG; PANCREATINA  90MG,143.7,PROTEASE
30 CAP | BIFIDUM LACTOBACILLUS  350MG; ACIDOPHILUS LACTOBACILLUS  350MG; LACTOBACILLUS BULGARICUS  250MG; CASEI LACTOBACILLUS  100MG,102.3,BIFIDUM LACTOBACILLUS
30 CAP | BIOTINA  10MG; EXSYNUTRIMENT-SILICIO ORGANICO  150MG; MSM  75MG; PANTOTENATO DE CALCIO  60MG; CISTINA  25MG; CISTEINA CLORIDRATO ANIDRA  40MG; TIAMINA  30MG; QUERATINA ORAL  80MG; SERENOA REPENS  75MG; DUTASTERIDA 0.500MG,222.3,BIOTINA
30 CAP | ACIDOPHILUS LACTOBACILLUS  200MG; GASSERI LACTOBACILLUS  100MG; CASEI LACTOBACILLUS  100MG; LACTOBACILLUS LACTIS  100MG; BIFIDOBACTERIA BIFIDUM  100MG,62.0,ACIDOPHILUS LACTOBACILLUS
30 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  30000UI; VITAMINA A OLEOSA ORAL  3000UI; VITAMINA K2 SOL MAE  200MCG,47.0,VITAMINA D LIQ CAP ACIMA 15MIL
60 CAP | GRIFFONIA SIMPLICIFOLIA  50MG; GYMNEMA SILVESTRE  100MG; GARCINIA CAMBOJA EXT SECO  400MG,100.0,GRIFFONIA SIMPLICIFOLIA
60 CAP | L THEANINA  50MG; MAGNESIO QUELADO 30%  100MG,44.0,L THEANINA
30 CAP | 5-HTP  100MG; PASSIFLORA  300MG; MULUNGU   100MG,75.0,5-HTP
60 CAP | TIROSINA  250MG; SELENIO QUELADO  200MCG; ACIDO FOLICO  1MG; MAGNESIO QUELADO 30%  600MG; VITAMINA D3 1:100  5000UI; COENZIMA Q10 PO  60MG; ACIDO LIPOICO  150MG; ACETIL L-CARNITINA HCL  340MG; COMPLEXO B 100MG CAPS  100MG; LACTOBACILLUS ACIDOPHILUS  200MG; LACTOBACILLUS BIFIDUM  200MG; FOS  109MG,363.0,TIROSINA
30 CAP | MAGNESIO DIMALATO  550MG; PIRIDOXINA  20MG; ZINCO QUELADO  10MG; IODETO DE POTASSIO  600MCG; ACIDO NICOTINICO  22MG; COENZIMA Q10 PO  60MG; SELENIO QUELADO  65MCG; VIT C  320MG,90.0,MAGNESIO DIMALATO
120 CAP | FINASTERIDA  5MG; TANSULOSINA 0.400MG,262.0,FINASTERIDA
30 CAP | ASHWAGANDHA EXTRATO  250MG,41.8,ASHWAGANDHA EXTRATO
120 CAP | CRAMBERRY EXT SECO  400MG,205.5,CRAMBERRY EXT SECO
90 CAP | VITAMINA D3  5000UI; VIT A   5000UI; VITAMINA K2 MK7  100MCG,60.0,VITAMINA D3
60 CAP | MACA PO 10%  300MG; TRIBULUS TERRESTRIS EXT SECO  300MG,94.2,MACA PO 10%
30 CAP | VITAMINA D  15000UI,40.0,VITAMINA D
16 CAP | VITAMINA D3   20000UI,40.0,VITAMINA D3
80 CAP | ACIDO ASCORBICO  400MG; L ARGININA  500MG; GINSENG COREANO  150MG; L TAURINA  100MG; PANTOTENATO DE CALCIO  250MG; MAGNESIO DIMALATO  400MG,216.6,ACIDO ASCORBICO
60 CAP | VITAMINA D  5000UI,44.0,VITAMINA D
60 CAP | RHODIOLA ROSEA   300MG,80.3,RHODIOLA ROSEA
40 CAP | RHODIOLA ROSEA  400MG; ASHWAGANDHA   300MG,100.8,RHODIOLA ROSEA
40 CAP | COENZIMA Q10  300MG; SELENIO QUELADO  100MCG; L CARNITINA  500MG; ZINCO  15MG; COBRE  0.500MG,231.9,COENZIMA Q10
60 CAP | MAGNESIO GLICINATO  400MG; ZINCO QUELATO  10MG; CROMO GTF  100MCG; SELENIO QUELATO  50MCG; COBRE QUELATO  500MCG; TIAMINA  50MG; RIBOFLAVINA  50MG; ACIDO PANTOTENICO  50MG; PIRIDOXAL-5-FOSFATO  10MG; METILFOLATO  200MCG; METILCOBALAMINA  200MCG,135.9,MAGNESIO GLICINATO
30 CAP | METFORMINA  500MG; ORLISTAT  80MG,74.7,METFORMINA
30 CAP | CURCUMA LONGA (95% DE CURCUM)  300MG; PIPERINA  3MG,53.1,CURCUMA LONGA (95% DE CURCUM)
90 CAP | VITAMINA D LIQ CAP ACIMA 15MIL  20000UI,77.1,VITAMINA D LIQ CAP ACIMA 15MIL
90 CAP | VITAMINA D LIQ CAP ATE 15MIL  10000UI; VITAMINA A OLEOSA ORAL  1000UI; VITAMINA K2 SOL MAE  110MCG,59.9,VITAMINA D LIQ CAP ATE 15MIL
30 CAP | VITAMINA D3 1:100  1000UI,39.9,VITAMINA D3 1:100
60 CAP | VITAMINA D3  10000UI; VITAMINA A OLEOSA ORAL  1000UI,46.0,VITAMINA D3
60 CAP | DULOXETINA  60MG,238.6,DULOXETINA
60 CAP | FERRO QUELADO  60MG; VIT C  300MG; SERENOA REPENS  200MG; VIT A   20000UI; BIOTINA  3MG; EXSYNUTRIMENT-SILICIO ORGANICO  50MG; ZINCO QUELADO  5MG; COBRE QUELADO  1MG,154.1,FERRO QUELADO
90 CAP | MAGNESIO DIMALATO  130MG,50.0,MAGNESIO DIMALATO
60 CAP | LACTOFERRINA  300MG,965.0,LACTOFERRINA
10 CAP | DHEA PO  50MG,74.3,DHEA PO
120 CAP | FLUOXETINA  20MG,49.5,FLUOXETINA
60 CAP | UBIQUINOL  100MG,83.3,UBIQUINOL
60 CAP | EQUISETUM ARVENSE  200MG; HIBISCUS SABDARIFA  200MG; CACTI-NEA  200MG; CHA VERDE EXT SECO  200MG,143.9,EQUISETUM ARVENSE
30 CAP | VITAMINA D LIQ CAP ATE 15MIL  15000UI; VITAMINA K2 LIQ SOL MAE  120MCG,40.0,VITAMINA D LIQ CAP ATE 15MIL
180 CAP | VITAMINA C  1000MG; ZINCO QUELADO  7MG; COBRE QUELADO 0.500MG; SELENIO QUELADO  50MCG,152.9,VITAMINA C
90 CAP | COLAGENO TIPO 2  40MG,123.4,COLAGENO TIPO 2
60 CAP | PICOLINATO CROMO 1:10  200MCG; ASPARTATO DE MAGNÉSIO  500MG; VIT D3  1000UI; METILFOLATO 1:10  1MG; ZINCO QUELADO 7.500MG; VITAMINA B3  25MG,115.0,PICOLINATO CROMO 1:10
30 CAP | TIAMINA  50MG; RIBOFLAVINA  10MG; ACIDO PANTOTENICO  25MG; PIRIDOXAL-5-FOSFATO  10MG; METILFOLATO 1:10  150MCG; METILCOBALAMINA 1:100  100MCG; ZINCO QUELADO  10MG; CROMO GTF  200MCG; SELENIO QUELADO  50MCG; COBRE QUELADO  500MCG; ACIDO ALFA LIPOICO  150MG; MAGNESIO DIMALATO  200MG; MAGNESIO GLICINA  200MG; TRANSRESVERATROL  25MG,114.3,TIAMINA
120 CAP | GLUCOMANNAN PO  500MG,77.5,GLUCOMANNAN PO
60 CAP | POLYPODIUM LEUCOTOMOS   250MG; PICNOGENOL  50MG,57.0,POLYPODIUM LEUCOTOMOS
30 CAP | RHODIOLA ROSEA   150MG; ASHWAGANDHA   150MG,46.0,RHODIOLA ROSEA
30 CAP | ACIDO ALFA LIPOICO  500MG,87.0,ACIDO ALFA LIPOICO
120 CAP | ANASTROZOL 1:10 0.500MG,80.0,ANASTROZOL 1:10 0.
